"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","1937","Select an option from the old-style select dropdown","DemoQA Automation Suite","Fri May 22 08:13:58 UTC 2026","passed","Fri May 22 08:14:00 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Click the Confirm button, accept the dialog, and verify the result message.","1933","Handle confirm popup — click OK","DemoQA Automation Suite","Fri May 22 08:13:49 UTC 2026","passed","Fri May 22 08:13:51 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","2594","Verify user is on the BookStore homepage","DemoQA Automation Suite","Fri May 22 08:13:27 UTC 2026","passed","Fri May 22 08:13:29 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","2077","Search for a book and verify it appears in the results table","DemoQA Automation Suite","Fri May 22 08:13:30 UTC 2026","passed","Fri May 22 08:13:32 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","1675","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","Fri May 22 08:13:54 UTC 2026","passed","Fri May 22 08:13:56 UTC 2026","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Click the Alert button, read the alert text, and accept it.","1922","Handle a simple alert popup","DemoQA Automation Suite","Fri May 22 08:13:46 UTC 2026","passed","Fri May 22 08:13:48 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Use selectByValue() and verify the displayed text reflects the correct option.","1841","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","Fri May 22 08:14:01 UTC 2026","passed","Fri May 22 08:14:03 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","2980","Handle prompt popup — type text and confirm","DemoQA Automation Suite","Fri May 22 08:13:51 UTC 2026","passed","Fri May 22 08:13:54 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Attempt login with wrong credentials and verify the user stays on the Login page.","4507","Login fails with invalid credentials","DemoQA Automation Suite","Fri May 22 08:13:37 UTC 2026","passed","Fri May 22 08:13:42 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","1931","Select multiple options from the multi-select list","DemoQA Automation Suite","Fri May 22 08:13:56 UTC 2026","passed","Fri May 22 08:13:58 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Switch into Frame 2, read the heading text, then switch back to main page.","1764","Read heading text from Frame 2","DemoQA Automation Suite","Fri May 22 08:13:44 UTC 2026","passed","Fri May 22 08:13:46 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","4740","Login successfully with valid credentials","DemoQA Automation Suite","Fri May 22 08:13:32 UTC 2026","passed","Fri May 22 08:13:37 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Switch into Frame 1, read the heading text, then switch back to main page.","1927","Read heading text from Frame 1","DemoQA Automation Suite","Fri May 22 08:13:42 UTC 2026","passed","Fri May 22 08:13:44 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
