"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","2033","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","2026-08-31","passed","2026-08-31","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Click the Confirm button, accept the dialog, and verify the result message.","2305","Handle confirm popup — click OK","DemoQA Automation Suite","2026-08-31","passed","2026-08-31","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","3132","Handle prompt popup — type text and confirm","DemoQA Automation Suite","2026-08-31","passed","2026-08-31","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Click the Alert button, read the alert text, and accept it.","2239","Handle a simple alert popup","DemoQA Automation Suite","2026-08-31","passed","2026-08-31","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","2143","Select an option from the old-style select dropdown","DemoQA Automation Suite","2026-08-31","passed","2026-08-31","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","2509","Select multiple options from the multi-select list","DemoQA Automation Suite","2026-08-31","passed","2026-08-31","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","5202","Login successfully with valid credentials","DemoQA Automation Suite","2026-08-31","passed","2026-08-31","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Switch into Frame 2, read the heading text, then switch back to main page.","2313","Read heading text from Frame 2","DemoQA Automation Suite","2026-08-31","passed","2026-08-31","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Switch into Frame 1, read the heading text, then switch back to main page.","2230","Read heading text from Frame 1","DemoQA Automation Suite","2026-08-31","passed","2026-08-31","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"Attempt login with wrong credentials and verify the user stays on the Login page.","5033","Login fails with invalid credentials","DemoQA Automation Suite","2026-08-31","passed","2026-08-31","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","2716","Verify user is on the BookStore homepage","DemoQA Automation Suite","2026-08-31","passed","2026-08-31","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","2758","Search for a book and verify it appears in the results table","DemoQA Automation Suite","2026-08-31","passed","2026-08-31","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Use selectByValue() and verify the displayed text reflects the correct option.","2174","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","2026-08-31","passed","2026-08-31","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
