"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","setUp","DemoQA Automation Suite","Mon May 25 10:28:33 UTC 2026","broken","Mon May 25 10:28:33 UTC 2026","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","setUp"
"Click the Confirm button, accept the dialog, and verify the result message.","0","Handle confirm popup — click OK","DemoQA Automation Suite","Mon May 25 10:28:32 UTC 2026","skipped","Mon May 25 10:28:32 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","1","Login successfully with valid credentials","DemoQA Automation Suite","Mon May 25 10:28:29 UTC 2026","skipped","Mon May 25 10:28:29 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","0","Select multiple options from the multi-select list","DemoQA Automation Suite","Mon May 25 10:28:34 UTC 2026","skipped","Mon May 25 10:28:34 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","0","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","Mon May 25 10:28:33 UTC 2026","skipped","Mon May 25 10:28:33 UTC 2026","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"","0","setUp","DemoQA Automation Suite","Mon May 25 10:28:33 UTC 2026","broken","Mon May 25 10:28:33 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","setUp"
"Use selectByValue() and verify the displayed text reflects the correct option.","0","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","Mon May 25 10:28:35 UTC 2026","skipped","Mon May 25 10:28:35 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","0","Handle prompt popup — type text and confirm","DemoQA Automation Suite","Mon May 25 10:28:33 UTC 2026","skipped","Mon May 25 10:28:33 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","2","Verify user is on the BookStore homepage","DemoQA Automation Suite","Mon May 25 10:28:27 UTC 2026","skipped","Mon May 25 10:28:27 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","0","Search for a book and verify it appears in the results table","DemoQA Automation Suite","Mon May 25 10:28:28 UTC 2026","skipped","Mon May 25 10:28:28 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"","0","setUp","DemoQA Automation Suite","Mon May 25 10:28:30 UTC 2026","broken","Mon May 25 10:28:30 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","setUp"
"","0","setUp","DemoQA Automation Suite","Mon May 25 10:28:31 UTC 2026","broken","Mon May 25 10:28:31 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","setUp"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","1","Select an option from the old-style select dropdown","DemoQA Automation Suite","Mon May 25 10:28:35 UTC 2026","skipped","Mon May 25 10:28:35 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Attempt login with wrong credentials and verify the user stays on the Login page.","0","Login fails with invalid credentials","DemoQA Automation Suite","Mon May 25 10:28:30 UTC 2026","skipped","Mon May 25 10:28:30 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"","0","setUp","DemoQA Automation Suite","Mon May 25 10:28:35 UTC 2026","broken","Mon May 25 10:28:35 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","setUp"
"Click the Alert button, read the alert text, and accept it.","0","Handle a simple alert popup","DemoQA Automation Suite","Mon May 25 10:28:31 UTC 2026","skipped","Mon May 25 10:28:31 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Switch into Frame 1, read the heading text, then switch back to main page.","1","Read heading text from Frame 1","DemoQA Automation Suite","Mon May 25 10:28:30 UTC 2026","skipped","Mon May 25 10:28:30 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"","0","setUp","DemoQA Automation Suite","Mon May 25 10:28:28 UTC 2026","broken","Mon May 25 10:28:28 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","setUp"
"Switch into Frame 2, read the heading text, then switch back to main page.","0","Read heading text from Frame 2","DemoQA Automation Suite","Mon May 25 10:28:31 UTC 2026","skipped","Mon May 25 10:28:31 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
