"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","DemoQA","0","File Upload","0","0","","0"
"0","DemoQA","0","Alerts / Popups","0","1","Confirm popup — accept","0"
"0","Amazon Web Automation","0","Authentication","0","1","Valid login","0"
"0","DemoQA","0","Dropdown / Select","0","1","Multi-select dropdown","0"
"0","DemoQA","0","File Upload","0","1","Browser file upload","0"
"1","DemoQA","0","Alerts / Popups","0","0","","0"
"0","DemoQA","0","Dropdown / Select","0","1","Single-select dropdown by value","0"
"0","DemoQA","0","Alerts / Popups","0","1","Prompt popup","0"
"0","DemoQA BookStore","0","BookStore Homepage","0","1","Homepage verification","0"
"0","DemoQA BookStore","0","BookStore Homepage","0","1","Book search","0"
"1","Amazon Web Automation","0","Authentication","0","0","","0"
"1","DemoQA","0","iFrame Interactions","0","0","","0"
"0","DemoQA","0","Dropdown / Select","0","1","Single-select dropdown","0"
"0","Amazon Web Automation","0","Authentication","0","1","Invalid login","0"
"1","DemoQA","0","Dropdown / Select","0","0","","0"
"0","DemoQA","0","Alerts / Popups","0","1","Simple alert","0"
"0","DemoQA","0","iFrame Interactions","0","2","Switch into frame and read content","0"
"1","DemoQA BookStore","0","BookStore Homepage","0","0","","0"
