"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","DemoQA","0","Dropdown / Select","0","0","Single-select dropdown by value","0"
"1","DemoQA","0","Alerts / Popups","0","0","Simple alert","0"
"1","DemoQA","0","Alerts / Popups","0","0","Prompt popup","0"
"1","DemoQA","0","File Upload","0","0","Browser file upload","0"
"2","DemoQA","0","iFrame Interactions","0","0","Switch into frame and read content","0"
"1","Amazon Web Automation","0","Authentication","0","0","Valid login","0"
"1","DemoQA BookStore","0","BookStore Homepage","0","0","Homepage verification","0"
"1","DemoQA","0","Dropdown / Select","0","0","Multi-select dropdown","0"
"1","Amazon Web Automation","0","Authentication","0","0","Invalid login","0"
"1","DemoQA","0","Dropdown / Select","0","0","Single-select dropdown","0"
"1","DemoQA","0","Alerts / Popups","0","0","Confirm popup — accept","0"
"1","DemoQA BookStore","0","BookStore Homepage","0","0","Book search","0"
