"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click the Alert button, read the alert text, and accept it.","1979","Handle a simple alert popup","DemoQA Automation Suite","Fri May 22 09:53:15 UTC 2026","passed","Fri May 22 09:53:17 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","2488","Verify user is on the BookStore homepage","DemoQA Automation Suite","Fri May 22 09:52:54 UTC 2026","passed","Fri May 22 09:52:57 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Switch into Frame 2, read the heading text, then switch back to main page.","1848","Read heading text from Frame 2","DemoQA Automation Suite","Fri May 22 09:53:13 UTC 2026","passed","Fri May 22 09:53:14 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","2020","Search for a book and verify it appears in the results table","DemoQA Automation Suite","Fri May 22 09:52:57 UTC 2026","passed","Fri May 22 09:52:59 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Click the Confirm button, accept the dialog, and verify the result message.","2041","Handle confirm popup — click OK","DemoQA Automation Suite","Fri May 22 09:53:17 UTC 2026","passed","Fri May 22 09:53:19 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","2933","Handle prompt popup — type text and confirm","DemoQA Automation Suite","Fri May 22 09:53:20 UTC 2026","passed","Fri May 22 09:53:23 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","6241","Login successfully with valid credentials","DemoQA Automation Suite","Fri May 22 09:52:59 UTC 2026","passed","Fri May 22 09:53:06 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","2159","Select multiple options from the multi-select list","DemoQA Automation Suite","Fri May 22 09:53:25 UTC 2026","passed","Fri May 22 09:53:27 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Attempt login with wrong credentials and verify the user stays on the Login page.","4142","Login fails with invalid credentials","DemoQA Automation Suite","Fri May 22 09:53:06 UTC 2026","passed","Fri May 22 09:53:10 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","1981","Select an option from the old-style select dropdown","DemoQA Automation Suite","Fri May 22 09:53:28 UTC 2026","passed","Fri May 22 09:53:30 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Switch into Frame 1, read the heading text, then switch back to main page.","1842","Read heading text from Frame 1","DemoQA Automation Suite","Fri May 22 09:53:10 UTC 2026","passed","Fri May 22 09:53:12 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"Use selectByValue() and verify the displayed text reflects the correct option.","1875","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","Fri May 22 09:53:30 UTC 2026","passed","Fri May 22 09:53:32 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","1885","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","Fri May 22 09:53:23 UTC 2026","passed","Fri May 22 09:53:25 UTC 2026","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
