"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","1553","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","Mon May 25 10:22:59 UTC 2026","passed","Mon May 25 10:23:01 UTC 2026","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Attempt login with wrong credentials and verify the user stays on the Login page.","6037","Login fails with invalid credentials","DemoQA Automation Suite","Mon May 25 10:22:40 UTC 2026","passed","Mon May 25 10:22:46 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Click the Confirm button, accept the dialog, and verify the result message.","2173","Handle confirm popup — click OK","DemoQA Automation Suite","Mon May 25 10:22:53 UTC 2026","passed","Mon May 25 10:22:56 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Switch into Frame 1, read the heading text, then switch back to main page.","1915","Read heading text from Frame 1","DemoQA Automation Suite","Mon May 25 10:22:46 UTC 2026","passed","Mon May 25 10:22:48 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","2619","Search for a book and verify it appears in the results table","DemoQA Automation Suite","Mon May 25 10:22:31 UTC 2026","passed","Mon May 25 10:22:34 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","2511","Verify user is on the BookStore homepage","DemoQA Automation Suite","Mon May 25 10:22:28 UTC 2026","passed","Mon May 25 10:22:31 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Switch into Frame 2, read the heading text, then switch back to main page.","2039","Read heading text from Frame 2","DemoQA Automation Suite","Mon May 25 10:22:49 UTC 2026","passed","Mon May 25 10:22:51 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Use selectByValue() and verify the displayed text reflects the correct option.","2045","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","Mon May 25 10:23:06 UTC 2026","passed","Mon May 25 10:23:08 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
"Click the Alert button, read the alert text, and accept it.","2147","Handle a simple alert popup","DemoQA Automation Suite","Mon May 25 10:22:51 UTC 2026","passed","Mon May 25 10:22:53 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","5546","Login successfully with valid credentials","DemoQA Automation Suite","Mon May 25 10:22:34 UTC 2026","passed","Mon May 25 10:22:40 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","2641","Handle prompt popup — type text and confirm","DemoQA Automation Suite","Mon May 25 10:22:56 UTC 2026","passed","Mon May 25 10:22:59 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","1929","Select an option from the old-style select dropdown","DemoQA Automation Suite","Mon May 25 10:23:04 UTC 2026","passed","Mon May 25 10:23:05 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","2304","Select multiple options from the multi-select list","DemoQA Automation Suite","Mon May 25 10:23:01 UTC 2026","passed","Mon May 25 10:23:03 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
