"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click the Alert button, read the alert text, and accept it.","2135","Handle a simple alert popup","DemoQA Automation Suite","Wed May 20 15:34:37 UTC 2026","passed","Wed May 20 15:34:39 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Click the Confirm button, accept the dialog, and verify the result message.","2196","Handle confirm popup — click OK","DemoQA Automation Suite","Wed May 20 15:34:40 UTC 2026","passed","Wed May 20 15:34:42 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Switch into Frame 1, read the heading text, then switch back to main page.","2295","Read heading text from Frame 1","DemoQA Automation Suite","Wed May 20 15:34:32 UTC 2026","passed","Wed May 20 15:34:35 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","1686","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","Wed May 20 15:34:46 UTC 2026","passed","Wed May 20 15:34:47 UTC 2026","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Use selectByValue() and verify the displayed text reflects the correct option.","2090","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","Wed May 20 15:34:53 UTC 2026","passed","Wed May 20 15:34:55 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","2400","Search for a book and verify it appears in the results table","DemoQA Automation Suite","Wed May 20 15:34:19 UTC 2026","passed","Wed May 20 15:34:21 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","2946","Handle prompt popup — type text and confirm","DemoQA Automation Suite","Wed May 20 15:34:42 UTC 2026","passed","Wed May 20 15:34:45 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Switch into Frame 2, read the heading text, then switch back to main page.","2081","Read heading text from Frame 2","DemoQA Automation Suite","Wed May 20 15:34:35 UTC 2026","passed","Wed May 20 15:34:37 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","2306","Select multiple options from the multi-select list","DemoQA Automation Suite","Wed May 20 15:34:48 UTC 2026","passed","Wed May 20 15:34:50 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","2120","Select an option from the old-style select dropdown","DemoQA Automation Suite","Wed May 20 15:34:50 UTC 2026","passed","Wed May 20 15:34:52 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","2718","Verify user is on the BookStore homepage","DemoQA Automation Suite","Wed May 20 15:34:16 UTC 2026","passed","Wed May 20 15:34:19 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Attempt login with wrong credentials and verify the user stays on the Login page.","4606","Login fails with invalid credentials","DemoQA Automation Suite","Wed May 20 15:34:27 UTC 2026","passed","Wed May 20 15:34:32 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","5169","Login successfully with valid credentials","DemoQA Automation Suite","Wed May 20 15:34:22 UTC 2026","passed","Wed May 20 15:34:27 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
