"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click the Confirm button, accept the dialog, and verify the result message.","2121","Handle confirm popup — click OK","DemoQA Automation Suite","2026-07-20","passed","2026-07-20","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","2394","Verify user is on the BookStore homepage","DemoQA Automation Suite","2026-07-20","passed","2026-07-20","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Switch into Frame 2, read the heading text, then switch back to main page.","1866","Read heading text from Frame 2","DemoQA Automation Suite","2026-07-20","passed","2026-07-20","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Attempt login with wrong credentials and verify the user stays on the Login page.","4444","Login fails with invalid credentials","DemoQA Automation Suite","2026-07-20","passed","2026-07-20","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","3183","Handle prompt popup — type text and confirm","DemoQA Automation Suite","2026-07-20","passed","2026-07-20","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","3075","Login successfully with valid credentials","DemoQA Automation Suite","2026-07-20","broken","2026-07-20","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Switch into Frame 1, read the heading text, then switch back to main page.","1970","Read heading text from Frame 1","DemoQA Automation Suite","2026-07-20","passed","2026-07-20","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","1864","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","2026-07-20","passed","2026-07-20","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Click the Alert button, read the alert text, and accept it.","2049","Handle a simple alert popup","DemoQA Automation Suite","2026-07-20","passed","2026-07-20","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","2171","Search for a book and verify it appears in the results table","DemoQA Automation Suite","2026-07-20","passed","2026-07-20","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","2188","Select multiple options from the multi-select list","DemoQA Automation Suite","2026-07-20","passed","2026-07-20","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","2036","Select an option from the old-style select dropdown","DemoQA Automation Suite","2026-07-20","passed","2026-07-20","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Use selectByValue() and verify the displayed text reflects the correct option.","1955","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","2026-07-20","passed","2026-07-20","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
