"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click the Alert button, read the alert text, and accept it.","2114","Handle a simple alert popup","DemoQA Automation Suite","Mon May 18 03:12:37 UTC 2026","passed","Mon May 18 03:12:39 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","2567","Search for a book and verify it appears in the results table","DemoQA Automation Suite","Mon May 18 03:11:52 UTC 2026","passed","Mon May 18 03:11:54 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","2708","Handle prompt popup — type text and confirm","DemoQA Automation Suite","Mon May 18 03:12:42 UTC 2026","passed","Mon May 18 03:12:45 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Use selectByValue() and verify the displayed text reflects the correct option.","2096","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","Mon May 18 03:12:52 UTC 2026","passed","Mon May 18 03:12:54 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","3350","Verify user is on the BookStore homepage","DemoQA Automation Suite","Mon May 18 03:11:48 UTC 2026","passed","Mon May 18 03:11:51 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Switch into Frame 2, read the heading text, then switch back to main page.","2018","Read heading text from Frame 2","DemoQA Automation Suite","Mon May 18 03:12:35 UTC 2026","passed","Mon May 18 03:12:37 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","2007","Select an option from the old-style select dropdown","DemoQA Automation Suite","Mon May 18 03:12:50 UTC 2026","passed","Mon May 18 03:12:52 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Switch into Frame 1, read the heading text, then switch back to main page.","1961","Read heading text from Frame 1","DemoQA Automation Suite","Mon May 18 03:12:33 UTC 2026","passed","Mon May 18 03:12:35 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"Attempt login with wrong credentials and verify the user stays on the Login page.","4689","Login fails with invalid credentials","DemoQA Automation Suite","Mon May 18 03:12:28 UTC 2026","passed","Mon May 18 03:12:32 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","32505","Login successfully with valid credentials","DemoQA Automation Suite","Mon May 18 03:11:55 UTC 2026","broken","Mon May 18 03:12:27 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","2196","Select multiple options from the multi-select list","DemoQA Automation Suite","Mon May 18 03:12:47 UTC 2026","passed","Mon May 18 03:12:49 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","1711","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","Mon May 18 03:12:45 UTC 2026","passed","Mon May 18 03:12:47 UTC 2026","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Click the Confirm button, accept the dialog, and verify the result message.","2129","Handle confirm popup — click OK","DemoQA Automation Suite","Mon May 18 03:12:40 UTC 2026","passed","Mon May 18 03:12:42 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
