"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","1869","Search for a book and verify it appears in the results table","DemoQA Automation Suite","Fri May 22 09:13:31 UTC 2026","passed","Fri May 22 09:13:33 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","2713","Handle prompt popup — type text and confirm","DemoQA Automation Suite","Fri May 22 09:13:51 UTC 2026","passed","Fri May 22 09:13:54 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","1646","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","Fri May 22 09:13:54 UTC 2026","passed","Fri May 22 09:13:56 UTC 2026","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Attempt login with wrong credentials and verify the user stays on the Login page.","4182","Login fails with invalid credentials","DemoQA Automation Suite","Fri May 22 09:13:38 UTC 2026","passed","Fri May 22 09:13:42 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","2142","Verify user is on the BookStore homepage","DemoQA Automation Suite","Fri May 22 09:13:28 UTC 2026","passed","Fri May 22 09:13:30 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","4692","Login successfully with valid credentials","DemoQA Automation Suite","Fri May 22 09:13:33 UTC 2026","passed","Fri May 22 09:13:38 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Switch into Frame 1, read the heading text, then switch back to main page.","1719","Read heading text from Frame 1","DemoQA Automation Suite","Fri May 22 09:13:43 UTC 2026","passed","Fri May 22 09:13:44 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"Switch into Frame 2, read the heading text, then switch back to main page.","1616","Read heading text from Frame 2","DemoQA Automation Suite","Fri May 22 09:13:45 UTC 2026","passed","Fri May 22 09:13:46 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Click the Alert button, read the alert text, and accept it.","1782","Handle a simple alert popup","DemoQA Automation Suite","Fri May 22 09:13:47 UTC 2026","passed","Fri May 22 09:13:48 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Click the Confirm button, accept the dialog, and verify the result message.","1908","Handle confirm popup — click OK","DemoQA Automation Suite","Fri May 22 09:13:49 UTC 2026","passed","Fri May 22 09:13:51 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","1946","Select multiple options from the multi-select list","DemoQA Automation Suite","Fri May 22 09:13:56 UTC 2026","passed","Fri May 22 09:13:58 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","1682","Select an option from the old-style select dropdown","DemoQA Automation Suite","Fri May 22 09:13:58 UTC 2026","passed","Fri May 22 09:14:00 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Use selectByValue() and verify the displayed text reflects the correct option.","1683","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","Fri May 22 09:14:00 UTC 2026","passed","Fri May 22 09:14:02 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
