"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","1801","Select an option from the old-style select dropdown","DemoQA Automation Suite","2026-07-06","passed","2026-07-06","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","2869","Handle prompt popup — type text and confirm","DemoQA Automation Suite","2026-07-06","passed","2026-07-06","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Use selectByValue() and verify the displayed text reflects the correct option.","1353","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","2026-07-06","passed","2026-07-06","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","2149","Verify user is on the BookStore homepage","DemoQA Automation Suite","2026-07-06","passed","2026-07-06","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","1971","Select multiple options from the multi-select list","DemoQA Automation Suite","2026-07-06","passed","2026-07-06","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Attempt login with wrong credentials and verify the user stays on the Login page.","4226","Login fails with invalid credentials","DemoQA Automation Suite","2026-07-06","passed","2026-07-06","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","1719","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","2026-07-06","passed","2026-07-06","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Switch into Frame 2, read the heading text, then switch back to main page.","1697","Read heading text from Frame 2","DemoQA Automation Suite","2026-07-06","passed","2026-07-06","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Click the Alert button, read the alert text, and accept it.","1778","Handle a simple alert popup","DemoQA Automation Suite","2026-07-06","passed","2026-07-06","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","4811","Login successfully with valid credentials","DemoQA Automation Suite","2026-07-06","passed","2026-07-06","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Click the Confirm button, accept the dialog, and verify the result message.","2036","Handle confirm popup — click OK","DemoQA Automation Suite","2026-07-06","passed","2026-07-06","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","1950","Search for a book and verify it appears in the results table","DemoQA Automation Suite","2026-07-06","passed","2026-07-06","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Switch into Frame 1, read the heading text, then switch back to main page.","1738","Read heading text from Frame 1","DemoQA Automation Suite","2026-07-06","passed","2026-07-06","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
