"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Attempt login with wrong credentials and verify the user stays on the Login page.","5128","Login fails with invalid credentials","DemoQA Automation Suite","Sat May 16 14:25:11 UTC 2026","broken","Sat May 16 14:25:17 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","5907","Login successfully with valid credentials","DemoQA Automation Suite","Sat May 16 14:25:05 UTC 2026","broken","Sat May 16 14:25:11 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Switch into Frame 2, read the heading text, then switch back to main page.","3584","Read heading text from Frame 2","DemoQA Automation Suite","Sat May 16 14:25:11 UTC 2026","passed","Sat May 16 14:25:14 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","2228","Select an option from the old-style select dropdown","DemoQA Automation Suite","Sat May 16 14:25:21 UTC 2026","passed","Sat May 16 14:25:23 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","4240","Search for a book and verify it appears in the results table","DemoQA Automation Suite","Sat May 16 14:25:10 UTC 2026","passed","Sat May 16 14:25:15 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Use selectByValue() and verify the displayed text reflects the correct option.","2255","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","Sat May 16 14:25:23 UTC 2026","passed","Sat May 16 14:25:25 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","3309","Handle prompt popup — type text and confirm","DemoQA Automation Suite","Sat May 16 14:25:52 UTC 2026","passed","Sat May 16 14:25:56 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Switch into Frame 1, read the heading text, then switch back to main page.","4896","Read heading text from Frame 1","DemoQA Automation Suite","Sat May 16 14:25:05 UTC 2026","passed","Sat May 16 14:25:10 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"Click the Alert button, read the alert text, and accept it.","33768","Handle a simple alert popup","DemoQA Automation Suite","Sat May 16 14:25:15 UTC 2026","broken","Sat May 16 14:25:49 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","4296","Verify user is on the BookStore homepage","DemoQA Automation Suite","Sat May 16 14:25:05 UTC 2026","passed","Sat May 16 14:25:09 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","3606","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","Sat May 16 14:25:16 UTC 2026","passed","Sat May 16 14:25:19 UTC 2026","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","3230","Select multiple options from the multi-select list","DemoQA Automation Suite","Sat May 16 14:25:17 UTC 2026","passed","Sat May 16 14:25:20 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Click the Confirm button, accept the dialog, and verify the result message.","2674","Handle confirm popup — click OK","DemoQA Automation Suite","Sat May 16 14:25:49 UTC 2026","passed","Sat May 16 14:25:52 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
