"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","2075","Search for a book and verify it appears in the results table","DemoQA Automation Suite","Sat May 16 14:52:47 UTC 2026","passed","Sat May 16 14:52:49 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Switch into Frame 2, read the heading text, then switch back to main page.","1772","Read heading text from Frame 2","DemoQA Automation Suite","Sat May 16 14:53:03 UTC 2026","passed","Sat May 16 14:53:05 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Click the Confirm button, accept the dialog, and verify the result message.","2038","Handle confirm popup — click OK","DemoQA Automation Suite","Sat May 16 14:53:07 UTC 2026","passed","Sat May 16 14:53:09 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","1844","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","Sat May 16 14:53:13 UTC 2026","passed","Sat May 16 14:53:15 UTC 2026","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","2799","Handle prompt popup — type text and confirm","DemoQA Automation Suite","Sat May 16 14:53:10 UTC 2026","passed","Sat May 16 14:53:13 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Click the Alert button, read the alert text, and accept it.","1834","Handle a simple alert popup","DemoQA Automation Suite","Sat May 16 14:53:05 UTC 2026","passed","Sat May 16 14:53:07 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Switch into Frame 1, read the heading text, then switch back to main page.","1687","Read heading text from Frame 1","DemoQA Automation Suite","Sat May 16 14:53:01 UTC 2026","passed","Sat May 16 14:53:03 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","1981","Select multiple options from the multi-select list","DemoQA Automation Suite","Sat May 16 14:53:15 UTC 2026","passed","Sat May 16 14:53:17 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","6972","Login successfully with valid credentials","DemoQA Automation Suite","Sat May 16 14:52:49 UTC 2026","passed","Sat May 16 14:52:56 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Attempt login with wrong credentials and verify the user stays on the Login page.","4441","Login fails with invalid credentials","DemoQA Automation Suite","Sat May 16 14:52:56 UTC 2026","passed","Sat May 16 14:53:01 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","1849","Select an option from the old-style select dropdown","DemoQA Automation Suite","Sat May 16 14:53:17 UTC 2026","passed","Sat May 16 14:53:19 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","4001","Verify user is on the BookStore homepage","DemoQA Automation Suite","Sat May 16 14:52:42 UTC 2026","passed","Sat May 16 14:52:46 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Use selectByValue() and verify the displayed text reflects the correct option.","1874","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","Sat May 16 14:53:19 UTC 2026","passed","Sat May 16 14:53:21 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
