"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Switch into Frame 1, read the heading text, then switch back to main page.","1661","Read heading text from Frame 1","DemoQA Automation Suite","Mon May 25 12:52:02 UTC 2026","passed","Mon May 25 12:52:03 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"Click the Confirm button, accept the dialog, and verify the result message.","1728","Handle confirm popup — click OK","DemoQA Automation Suite","Mon May 25 12:52:08 UTC 2026","passed","Mon May 25 12:52:10 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","1617","Select an option from the old-style select dropdown","DemoQA Automation Suite","Mon May 25 12:52:17 UTC 2026","passed","Mon May 25 12:52:19 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","2848","Login successfully with valid credentials","DemoQA Automation Suite","Mon May 25 12:51:54 UTC 2026","broken","Mon May 25 12:51:56 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Attempt login with wrong credentials and verify the user stays on the Login page.","4360","Login fails with invalid credentials","DemoQA Automation Suite","Mon May 25 12:51:57 UTC 2026","passed","Mon May 25 12:52:01 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","2086","Verify user is on the BookStore homepage","DemoQA Automation Suite","Mon May 25 12:51:49 UTC 2026","passed","Mon May 25 12:51:51 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Click the Alert button, read the alert text, and accept it.","1759","Handle a simple alert popup","DemoQA Automation Suite","Mon May 25 12:52:06 UTC 2026","passed","Mon May 25 12:52:07 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","2042","Search for a book and verify it appears in the results table","DemoQA Automation Suite","Mon May 25 12:51:51 UTC 2026","passed","Mon May 25 12:51:53 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","1870","Select multiple options from the multi-select list","DemoQA Automation Suite","Mon May 25 12:52:15 UTC 2026","passed","Mon May 25 12:52:17 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","1554","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","Mon May 25 12:52:13 UTC 2026","passed","Mon May 25 12:52:14 UTC 2026","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Use selectByValue() and verify the displayed text reflects the correct option.","1628","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","Mon May 25 12:52:19 UTC 2026","passed","Mon May 25 12:52:20 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","2572","Handle prompt popup — type text and confirm","DemoQA Automation Suite","Mon May 25 12:52:10 UTC 2026","passed","Mon May 25 12:52:12 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Switch into Frame 2, read the heading text, then switch back to main page.","1683","Read heading text from Frame 2","DemoQA Automation Suite","Mon May 25 12:52:04 UTC 2026","passed","Mon May 25 12:52:05 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
