"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click the Confirm button, accept the dialog, and verify the result message.","2485","Handle confirm popup — click OK","DemoQA Automation Suite","2026-09-07","passed","2026-09-07","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Click the Alert button, read the alert text, and accept it.","2643","Handle a simple alert popup","DemoQA Automation Suite","2026-09-07","passed","2026-09-07","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Attempt login with wrong credentials and verify the user stays on the Login page.","5248","Login fails with invalid credentials","DemoQA Automation Suite","2026-09-07","passed","2026-09-07","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","2410","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","2026-09-07","passed","2026-09-07","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Use selectByValue() and verify the displayed text reflects the correct option.","2527","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","2026-09-07","passed","2026-09-07","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","3605","Handle prompt popup — type text and confirm","DemoQA Automation Suite","2026-09-07","passed","2026-09-07","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Switch into Frame 2, read the heading text, then switch back to main page.","2698","Read heading text from Frame 2","DemoQA Automation Suite","2026-09-07","passed","2026-09-07","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Switch into Frame 1, read the heading text, then switch back to main page.","2504","Read heading text from Frame 1","DemoQA Automation Suite","2026-09-07","passed","2026-09-07","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","3250","Verify user is on the BookStore homepage","DemoQA Automation Suite","2026-09-07","passed","2026-09-07","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","2582","Select multiple options from the multi-select list","DemoQA Automation Suite","2026-09-07","passed","2026-09-07","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","2515","Select an option from the old-style select dropdown","DemoQA Automation Suite","2026-09-07","passed","2026-09-07","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","2510","Search for a book and verify it appears in the results table","DemoQA Automation Suite","2026-09-07","passed","2026-09-07","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","7467","Login successfully with valid credentials","DemoQA Automation Suite","2026-09-07","passed","2026-09-07","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
