"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click the Alert button, read the alert text, and accept it.","1771","Handle a simple alert popup","DemoQA Automation Suite","Mon May 25 10:25:15 UTC 2026","passed","Mon May 25 10:25:17 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","5997","Login successfully with valid credentials","DemoQA Automation Suite","Mon May 25 10:24:59 UTC 2026","passed","Mon May 25 10:25:05 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","2128","Verify user is on the BookStore homepage","DemoQA Automation Suite","Mon May 25 10:24:54 UTC 2026","passed","Mon May 25 10:24:56 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","1826","Select an option from the old-style select dropdown","DemoQA Automation Suite","Mon May 25 10:25:27 UTC 2026","passed","Mon May 25 10:25:29 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Attempt login with wrong credentials and verify the user stays on the Login page.","4554","Login fails with invalid credentials","DemoQA Automation Suite","Mon May 25 10:25:05 UTC 2026","passed","Mon May 25 10:25:10 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Switch into Frame 1, read the heading text, then switch back to main page.","1810","Read heading text from Frame 1","DemoQA Automation Suite","Mon May 25 10:25:10 UTC 2026","passed","Mon May 25 10:25:12 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
"Switch into Frame 2, read the heading text, then switch back to main page.","1691","Read heading text from Frame 2","DemoQA Automation Suite","Mon May 25 10:25:13 UTC 2026","passed","Mon May 25 10:25:14 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Use selectByValue() and verify the displayed text reflects the correct option.","1757","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","Mon May 25 10:25:30 UTC 2026","passed","Mon May 25 10:25:31 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","2796","Handle prompt popup — type text and confirm","DemoQA Automation Suite","Mon May 25 10:25:20 UTC 2026","passed","Mon May 25 10:25:22 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","1918","Search for a book and verify it appears in the results table","DemoQA Automation Suite","Mon May 25 10:24:56 UTC 2026","passed","Mon May 25 10:24:58 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Click the Confirm button, accept the dialog, and verify the result message.","1926","Handle confirm popup — click OK","DemoQA Automation Suite","Mon May 25 10:25:17 UTC 2026","passed","Mon May 25 10:25:19 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","1693","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","Mon May 25 10:25:23 UTC 2026","passed","Mon May 25 10:25:25 UTC 2026","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","1899","Select multiple options from the multi-select list","DemoQA Automation Suite","Mon May 25 10:25:25 UTC 2026","passed","Mon May 25 10:25:27 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
