"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Click the Confirm button, accept the dialog, and verify the result message.","194","Handle confirm popup — click OK","DemoQA Automation Suite","Fri May 22 09:48:21 UTC 2026","broken","Fri May 22 09:48:21 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testConfirmPopupAccept"
"Click the Alert button, read the alert text, and accept it.","181","Handle a simple alert popup","DemoQA Automation Suite","Fri May 22 09:48:21 UTC 2026","broken","Fri May 22 09:48:21 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testSimpleAlert"
"Use Selenium's Select class to pick an option by visible text and verify the selection.","167","Select an option from the old-style select dropdown","DemoQA Automation Suite","Fri May 22 09:48:24 UTC 2026","broken","Fri May 22 09:48:24 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByText"
"Use selectByValue() and verify the displayed text reflects the correct option.","169","Select an option from the dropdown by its value attribute","DemoQA Automation Suite","Fri May 22 09:48:24 UTC 2026","broken","Fri May 22 09:48:24 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testSelectByValue"
"Attempt login with wrong credentials and verify the user stays on the Login page.","196","Login fails with invalid credentials","DemoQA Automation Suite","Fri May 22 09:48:19 UTC 2026","broken","Fri May 22 09:48:19 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testInvalidLogin"
"Locate the upload input, send a file path, and verify the uploaded filename is shown.","168","Upload a file and verify the filename appears on screen","DemoQA Automation Suite","Fri May 22 09:48:22 UTC 2026","broken","Fri May 22 09:48:23 UTC 2026","tests.FileUploadTest","File Upload Tests","tests.FileUploadTest","testFileUpload"
"Click the Prompt button, type a name, accept, and verify the result contains that name.","160","Handle prompt popup — type text and confirm","DemoQA Automation Suite","Fri May 22 09:48:22 UTC 2026","broken","Fri May 22 09:48:22 UTC 2026","tests.AlertsTest","Alerts Tests","tests.AlertsTest","testPromptPopup"
"Select 'Volvo' and 'Audi' simultaneously and verify both are selected.","175","Select multiple options from the multi-select list","DemoQA Automation Suite","Fri May 22 09:48:23 UTC 2026","broken","Fri May 22 09:48:23 UTC 2026","tests.DropdownTest","Dropdown Tests","tests.DropdownTest","testMultiSelect"
"Switch into Frame 2, read the heading text, then switch back to main page.","171","Read heading text from Frame 2","DemoQA Automation Suite","Fri May 22 09:48:20 UTC 2026","broken","Fri May 22 09:48:20 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame2"
"Navigate to the BookStore, click Login, enter valid credentials, and verify the Profile page loads.","244","Login successfully with valid credentials","DemoQA Automation Suite","Fri May 22 09:48:18 UTC 2026","broken","Fri May 22 09:48:18 UTC 2026","tests.LoginTest","Login Tests","tests.LoginTest","testValidLogin"
"Navigate to the BookStore URL and verify the page header and Login button are visible.","671","Verify user is on the BookStore homepage","DemoQA Automation Suite","Fri May 22 09:48:16 UTC 2026","broken","Fri May 22 09:48:17 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testHomepageLoads"
"Type 'Git' in the search box and verify 'Git Pocket Guide' appears in the table.","446","Search for a book and verify it appears in the results table","DemoQA Automation Suite","Fri May 22 09:48:17 UTC 2026","broken","Fri May 22 09:48:18 UTC 2026","tests.HomePageTest","Bookstore Homepage Tests","tests.HomePageTest","testSearchBook"
"Switch into Frame 1, read the heading text, then switch back to main page.","173","Read heading text from Frame 1","DemoQA Automation Suite","Fri May 22 09:48:19 UTC 2026","broken","Fri May 22 09:48:20 UTC 2026","tests.FrameTest","Frame Tests","tests.FrameTest","testReadTextFromFrame1"
